"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","2.820,0","2.840,0","2.840,0","2.800,0","88,61K","-0,70%"
"12.06.2025","2.840,0","2.840,0","2.880,0","2.840,0","192,09K","0,35%"
"11.06.2025","2.830,0","2.750,0","2.835,0","2.730,0","214,72K","1,25%"
"10.06.2025","2.795,0","2.800,0","2.840,0","2.770,0","312,55K","-0,18%"
"09.06.2025","2.800,0","2.845,0","2.935,0","2.755,0","776,77K","-1,58%"
"06.06.2025","2.845,0","2.650,0","2.900,0","2.650,0","1,31M","7,36%"
"05.06.2025","2.650,0","2.510,0","2.670,0","2.510,0","914,70K","5,79%"
"04.06.2025","2.505,0","2.420,0","2.515,0","2.410,0","705,25K","3,94%"
"03.06.2025","2.410,0","2.425,0","2.425,0","2.370,0","171,78K","-1,63%"
"30.05.2025","2.450,0","2.455,0","2.460,0","2.425,0","241,60K","0,41%"
"29.05.2025","2.440,0","2.395,0","2.440,0","2.370,0","238,95K","1,04%"
"28.05.2025","2.415,0","2.380,0","2.435,0","2.380,0","459,63K","2,33%"
"27.05.2025","2.360,0","2.160,0","2.360,0","2.160,0","31,69M","9,77%"
"26.05.2025","2.150,0","2.215,0","2.265,0","2.150,0","617,08K","-2,27%"
"23.05.2025","2.200,0","2.245,0","2.245,0","2.150,0","347,51K","-2,00%"
"22.05.2025","2.245,0","2.235,0","2.245,0","2.230,0","94,61K","0,67%"
"21.05.2025","2.230,0","2.240,0","2.240,0","2.220,0","126,27K","-0,45%"
"20.05.2025","2.240,0","2.280,0","2.280,0","2.225,0","124,41K","-1,75%"
"19.05.2025","2.280,0","2.295,0","2.295,0","2.220,0","461,02K","-1,30%"
"16.05.2025","2.310,0","2.385,0","2.385,0","2.310,0","270,48K","-0,43%"
"15.05.2025","2.320,0","2.090,0","2.370,0","2.090,0","2,68M","11,54%"
"14.05.2025","2.080,0","1.975,0","2.090,0","1.975,0","1,33M","5,85%"
"13.05.2025","1.965,0","1.925,0","1.965,0","1.915,0","212,62K","0,77%"
"12.05.2025","1.950,0","1.970,0","1.970,0","1.925,0","422,83K","0,78%"
"09.05.2025","1.935,0","1.920,0","1.955,0","1.915,0","470,74K","3,48%"
