"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","49.940,0","50.000,0","50.000,0","49.500,0","66,69K","-0,12%"
"12.06.2025","50.000,0","50.340,0","50.340,0","49.900,0","57,32K","-0,99%"
"11.06.2025","50.500,0","50.680,0","50.700,0","49.480,0","280,91K","0,40%"
"10.06.2025","50.300,0","50.900,0","50.900,0","49.000,0","437,06K","1,49%"
"09.06.2025","49.560,0","50.000,0","50.000,0","49.020,0","141,37K","-1,08%"
"06.06.2025","50.100,0","51.000,0","51.000,0","50.020,0","222,19K","-1,76%"
"05.06.2025","51.000,0","50.520,0","51.000,0","50.420,0","282,96K","1,19%"
"04.06.2025","50.400,0","50.160,0","50.900,0","50.000,0","151,55K","1,04%"
"03.06.2025","49.880,0","49.600,0","50.480,0","49.280,0","277,97K","2,21%"
"30.05.2025","48.800,0","49.700,0","50.140,0","48.800,0","2,00M","-2,01%"
"29.05.2025","49.800,0","51.280,0","51.400,0","49.800,0","158,15K","-1,97%"
"28.05.2025","50.800,0","51.600,0","51.600,0","50.800,0","190,89K","-1,55%"
"27.05.2025","51.600,0","52.120,0","52.300,0","51.400,0","293,45K","-0,77%"
"26.05.2025","52.000,0","52.300,0","52.320,0","52.000,0","29,42K","-0,57%"
"23.05.2025","52.300,0","51.600,0","52.460,0","51.560,0","315,29K","1,40%"
"22.05.2025","51.580,0","51.900,0","52.000,0","51.060,0","200,37K","-0,62%"
"21.05.2025","51.900,0","52.640,0","53.000,0","51.500,0","93,64K","-1,37%"
"20.05.2025","52.620,0","55.000,0","55.000,0","52.620,0","69,64K","0,23%"
"19.05.2025","52.500,0","51.340,0","52.500,0","51.320,0","54,95K","5,00%"
"16.05.2025","50.000,0","50.000,0","50.000,0","50.000,0","133,98K","-5,30%"
"15.05.2025","52.800,0","52.260,0","52.800,0","51.040,0","229,52K","1,11%"
"14.05.2025","52.220,0","54.920,0","55.500,0","52.220,0","167,16K","-6,11%"
"13.05.2025","55.620,0","51.380,0","55.960,0","50.700,0","319,30K","9,27%"
"12.05.2025","50.900,0","50.980,0","50.980,0","49.500,0","159,34K","2,79%"
"09.05.2025","49.520,0","50.160,0","50.500,0","49.520,0","66,78K","-1,24%"
"08.05.2025","50.140,0","50.200,0","50.400,0","50.000,0","200,56K","-0,08%"
"07.05.2025","50.180,0","51.000,0","51.540,0","49.900,0","129,17K","0,16%"
"06.05.2025","50.100,0","50.460,0","50.460,0","50.080,0","141,15K","-0,60%"
"05.05.2025","50.400,0","50.000,0","50.580,0","49.780,0","114,26K","0,80%"
"02.05.2025","50.000,0","50.400,0","50.560,0","49.940,0","64,50K","-0,20%"
"30.04.2025","50.100,0","49.620,0","50.200,0","49.500,0","229,17K","0,97%"
"29.04.2025","49.620,0","49.880,0","50.520,0","49.620,0","206,66K","0,00%"
"28.04.2025","49.620,0","50.140,0","51.800,0","49.520,0","179,41K","-6,16%"
"25.04.2025","52.880,0","50.720,0","52.880,0","50.720,0","320,23K","1,97%"
"24.04.2025","51.860,0","51.300,0","52.280,0","51.020,0","238,63K","-0,46%"
"23.04.2025","52.100,0","50.900,0","52.100,0","50.780,0","122,03K","4,20%"
"22.04.2025","50.000,0","50.100,0","51.400,0","50.000,0","171,78K","-0,64%"
"21.04.2025","50.320,0","48.680,0","50.320,0","48.680,0","273,39K","-1,45%"
"16.04.2025","51.060,0","49.900,0","51.060,0","48.000,0","375,64K","6,38%"
"15.04.2025","48.000,0","46.440,0","48.000,0","46.440,0","73,20K","3,58%"
"14.04.2025","46.340,0","47.840,0","47.840,0","46.340,0","50,48K","1,40%"
"11.04.2025","45.700,0","46.000,0","46.400,0","45.700,0","108,67K","-1,08%"
"10.04.2025","46.200,0","46.900,0","46.900,0","45.780,0","227,57K","-1,28%"
"09.04.2025","46.800,0","46.220,0","47.180,0","45.280,0","218,30K","1,34%"
"08.04.2025","46.180,0","48.400,0","48.900,0","46.180,0","319,20K","-4,59%"
"07.04.2025","48.400,0","48.200,0","49.000,0","47.500,0","325,27K","-0,82%"
"04.04.2025","48.800,0","49.600,0","49.600,0","48.400,0","889,46K","-1,61%"
"03.04.2025","49.600,0","49.300,0","49.900,0","49.020,0","365,25K","0,20%"
"02.04.2025","49.500,0","46.980,0","49.780,0","46.980,0","239,23K","4,74%"
"01.04.2025","47.260,0","46.580,0","47.360,0","46.580,0","212,82K","0,55%"
"31.03.2025","47.000,0","45.620,0","47.080,0","45.260,0","271,57K","1,08%"
"28.03.2025","46.500,0","46.060,0","46.520,0","45.400,0","426,85K","0,96%"
"27.03.2025","46.060,0","46.160,0","46.240,0","45.780,0","526,19K","-0,39%"
"26.03.2025","46.240,0","45.660,0","46.240,0","44.820,0","191,58K","-4,07%"
"25.03.2025","48.200,0","47.220,0","48.520,0","47.220,0","493,13K","0,00%"
"21.03.2025","48.200,0","46.940,0","48.200,0","46.940,0","854,50K","2,64%"
"20.03.2025","46.960,0","47.500,0","47.680,0","46.900,0","55,73K","-0,30%"
"19.03.2025","47.100,0","48.180,0","48.180,0","47.100,0","394,97K","-2,65%"
"18.03.2025","48.380,0","48.600,0","48.760,0","47.840,0","233,12K","-0,04%"
"17.03.2025","48.400,0","48.160,0","48.500,0","47.900,0","530,41K","1,17%"
"14.03.2025","47.840,0","46.460,0","48.400,0","46.460,0","104,29K","3,46%"
"13.03.2025","46.240,0","46.660,0","46.800,0","46.240,0","220,18K","0,52%"
"12.03.2025","46.000,0","46.400,0","46.700,0","46.000,0","115,84K","-0,65%"
"11.03.2025","46.300,0","46.300,0","46.800,0","44.860,0","224,52K","0,00%"
"10.03.2025","46.300,0","47.000,0","47.000,0","46.000,0","112,12K","-1,49%"
"07.03.2025","47.000,0","47.380,0","48.200,0","47.000,0","118,47K","-0,63%"
"06.03.2025","47.300,0","46.840,0","47.300,0","46.200,0","191,60K","2,51%"
"05.03.2025","46.140,0","45.000,0","46.800,0","45.000,0","128,25K","3,73%"
"04.03.2025","44.480,0","44.100,0","45.140,0","43.600,0","208,70K","0,86%"
"03.03.2025","44.100,0","46.100,0","46.580,0","44.100,0","97,17K","-3,50%"
"28.02.2025","45.700,0","46.400,0","46.800,0","45.700,0","831,88K","-1,72%"
"27.02.2025","46.500,0","47.560,0","49.000,0","46.160,0","249,61K","-2,15%"
