"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","32.200,0","32.500,0","32.500,0","31.960,0","7,77K","-0,92%"
"12.06.2025","32.500,0","32.700,0","32.700,0","32.500,0","5,61K","-0,25%"
"11.06.2025","32.580,0","32.200,0","32.600,0","32.180,0","6,63K","1,81%"
"10.06.2025","32.000,0","32.480,0","32.680,0","32.000,0","11,29K","-1,54%"
"09.06.2025","32.500,0","32.980,0","32.980,0","32.500,0","3,86K","-0,85%"
"06.06.2025","32.780,0","32.520,0","32.780,0","32.080,0","14,66K","0,86%"
"05.06.2025","32.500,0","32.200,0","32.500,0","32.200,0","4,07K","0,00%"
"04.06.2025","32.500,0","32.500,0","32.700,0","32.500,0","3,66K","-0,73%"
"03.06.2025","32.740,0","32.600,0","32.740,0","32.400,0","3,42K","0,43%"
"30.05.2025","32.600,0","31.920,0","32.600,0","31.800,0","10,56K","2,19%"
"29.05.2025","31.900,0","32.480,0","32.520,0","31.900,0","6,50K","-1,79%"
"28.05.2025","32.480,0","32.500,0","32.500,0","32.480,0","8,67K","-1,22%"
"27.05.2025","32.880,0","32.600,0","32.880,0","32.600,0","8,79K","0,55%"
"26.05.2025","32.700,0","32.700,0","32.700,0","32.500,0","7,25K","-0,91%"
"23.05.2025","33.000,0","32.700,0","33.000,0","32.680,0","13,40K","0,92%"
"22.05.2025","32.700,0","32.760,0","32.760,0","31.800,0","14,53K","-0,30%"
"21.05.2025","32.800,0","32.260,0","32.900,0","32.260,0","9,67K","1,67%"
"20.05.2025","32.260,0","32.700,0","32.900,0","32.260,0","8,19K","-1,04%"
"19.05.2025","32.600,0","32.200,0","32.600,0","32.200,0","7,37K","1,37%"
"16.05.2025","32.160,0","32.340,0","32.700,0","32.140,0","5,40K","-0,68%"
"15.05.2025","32.380,0","32.500,0","32.500,0","32.000,0","7,75K","-0,55%"
"14.05.2025","32.560,0","32.900,0","33.000,0","32.500,0","13,06K","0,18%"
"13.05.2025","32.500,0","32.000,0","32.500,0","32.000,0","20,54K","1,56%"
"12.05.2025","32.000,0","31.500,0","32.500,0","31.500,0","33,80K","0,00%"
"09.05.2025","32.000,0","31.800,0","32.400,0","31.800,0","13,86K","0,63%"
"08.05.2025","31.800,0","31.200,0","31.800,0","31.200,0","33,49K","2,58%"
"07.05.2025","31.000,0","30.760,0","31.000,0","30.760,0","19,29K","1,31%"
"06.05.2025","30.600,0","30.800,0","30.900,0","30.600,0","7,84K","-0,65%"
"05.05.2025","30.800,0","30.840,0","31.000,0","30.800,0","8,84K","0,00%"
"02.05.2025","30.800,0","30.700,0","30.900,0","30.700,0","9,78K","-0,32%"
"30.04.2025","30.900,0","30.200,0","30.900,0","30.200,0","31,97K","1,11%"
"29.04.2025","30.560,0","29.800,0","30.560,0","29.800,0","20,24K","1,87%"
"28.04.2025","30.000,0","30.400,0","30.400,0","30.000,0","14,09K","-0,33%"
"25.04.2025","30.100,0","30.100,0","30.100,0","30.020,0","4,90K","0,00%"
"24.04.2025","30.100,0","30.400,0","30.400,0","30.000,0","10,17K","-1,31%"
"23.04.2025","30.500,0","29.600,0","30.500,0","29.600,0","16,61K","2,01%"
"22.04.2025","29.900,0","29.620,0","29.980,0","29.600,0","22,34K","1,01%"
"21.04.2025","29.600,0","29.600,0","29.600,0","29.600,0","3,99K","-1,27%"
"16.04.2025","29.980,0","29.700,0","29.980,0","29.700,0","2,37K","1,15%"
"15.04.2025","29.640,0","30.000,0","30.000,0","29.640,0","13,87K","0,00%"
"14.04.2025","29.640,0","29.980,0","29.980,0","29.640,0","4,19K","0,14%"
"11.04.2025","29.600,0","29.340,0","29.600,0","29.340,0","9,25K","3,50%"
"10.04.2025","28.600,0","29.900,0","29.900,0","28.600,0","20,86K","-5,11%"
"09.04.2025","30.140,0","29.340,0","30.140,0","28.600,0","22,19K","1,82%"
"08.04.2025","29.600,0","30.200,0","30.600,0","29.500,0","24,34K","-1,99%"
"07.04.2025","30.200,0","30.260,0","30.400,0","30.000,0","21,27K","-1,24%"
"04.04.2025","30.580,0","31.240,0","31.240,0","30.580,0","11,23K","-2,92%"
"03.04.2025","31.500,0","31.020,0","31.600,0","31.000,0","18,44K","-0,63%"
"02.04.2025","31.700,0","30.560,0","31.820,0","30.500,0","36,05K","3,87%"
"01.04.2025","30.520,0","30.680,0","30.960,0","30.440,0","14,96K","0,07%"
"31.03.2025","30.500,0","30.100,0","30.720,0","30.100,0","12,79K","-0,85%"
"28.03.2025","30.760,0","30.360,0","30.760,0","30.060,0","4,45K","0,98%"
"27.03.2025","30.460,0","31.000,0","31.000,0","30.460,0","3,25K","-1,81%"
"26.03.2025","31.020,0","31.500,0","31.600,0","31.000,0","41,79K","-0,89%"
"25.03.2025","31.300,0","30.700,0","31.360,0","30.700,0","28,12K","1,62%"
"21.03.2025","30.800,0","30.800,0","30.800,0","30.800,0","82,73K","1,25%"
"20.03.2025","30.420,0","30.400,0","30.800,0","30.400,0","43,31K","0,07%"
"19.03.2025","30.400,0","30.060,0","30.400,0","30.000,0","11,48K","0,00%"
"18.03.2025","30.400,0","30.760,0","30.780,0","30.000,0","21,12K","0,33%"
"17.03.2025","30.300,0","30.300,0","30.780,0","30.300,0","10,68K","-1,56%"
"14.03.2025","30.780,0","30.300,0","30.800,0","30.300,0","10,52K","0,92%"
"13.03.2025","30.500,0","30.800,0","30.800,0","30.300,0","8,23K","-0,65%"
"12.03.2025","30.700,0","30.300,0","30.700,0","30.300,0","16,62K","1,25%"
"11.03.2025","30.320,0","30.760,0","30.860,0","30.320,0","24,67K","-1,56%"
"10.03.2025","30.800,0","30.840,0","31.500,0","30.500,0","41,48K","-0,19%"
"07.03.2025","30.860,0","30.000,0","31.880,0","30.000,0","49,56K","3,00%"
"06.03.2025","29.960,0","29.920,0","29.960,0","29.460,0","9,23K","0,00%"
"05.03.2025","29.960,0","29.920,0","30.000,0","29.500,0","6,85K","0,20%"
"04.03.2025","29.900,0","29.840,0","29.900,0","29.600,0","11,49K","-0,33%"
"03.03.2025","30.000,0","29.700,0","30.000,0","29.600,0","9,75K","2,04%"
"28.02.2025","29.400,0","29.900,0","30.000,0","29.400,0","34,14K","-2,00%"
"27.02.2025","30.000,0","30.060,0","30.080,0","29.880,0","15,62K","-0,99%"
"26.02.2025","30.300,0","30.800,0","30.980,0","30.020,0","21,78K","-1,69%"
"25.02.2025","30.820,0","30.800,0","31.100,0","30.800,0","16,04K","-0,90%"
"24.02.2025","31.100,0","30.660,0","31.100,0","30.660,0","19,42K","1,90%"
"21.02.2025","30.520,0","31.300,0","31.400,0","30.520,0","17,78K","-1,23%"
"20.02.2025","30.900,0","31.180,0","31.700,0","30.640,0","32,33K","-0,90%"
"19.02.2025","31.180,0","30.520,0","31.180,0","30.420,0","47,61K","2,16%"
"18.02.2025","30.520,0","29.880,0","30.760,0","29.880,0","40,38K","2,21%"
"17.02.2025","29.860,0","29.300,0","29.900,0","29.300,0","13,14K","2,33%"
"14.02.2025","29.180,0","28.560,0","29.260,0","28.320,0","18,18K","2,31%"
"13.02.2025","28.520,0","28.520,0","28.540,0","28.400,0","72,17K","0,07%"
"12.02.2025","28.500,0","28.800,0","28.800,0","28.500,0","16,32K","-0,84%"
"11.02.2025","28.740,0","28.900,0","28.900,0","28.640,0","10,42K","-0,96%"
"10.02.2025","29.020,0","28.880,0","29.020,0","28.860,0","15,93K","0,48%"
"07.02.2025","28.880,0","29.020,0","29.080,0","28.600,0","36,37K","-0,82%"
"06.02.2025","29.120,0","29.100,0","29.140,0","29.000,0","8,36K","-0,61%"
"05.02.2025","29.300,0","29.080,0","29.300,0","29.080,0","20,13K","0,76%"
"04.02.2025","29.080,0","29.180,0","29.180,0","28.900,0","12,28K","0,14%"
"03.02.2025","29.040,0","29.100,0","29.300,0","29.000,0","26,90K","-1,56%"
"31.01.2025","29.500,0","29.060,0","29.580,0","29.020,0","85,48K","1,65%"
"30.01.2025","29.020,0","29.200,0","29.620,0","29.020,0","35,42K","-1,29%"
"29.01.2025","29.400,0","29.200,0","29.600,0","29.200,0","26,04K","1,80%"
"28.01.2025","28.880,0","28.320,0","29.000,0","28.000,0","57,59K","2,34%"
"27.01.2025","28.220,0","27.500,0","28.380,0","27.500,0","18,20K","0,79%"
"24.01.2025","28.000,0","28.000,0","28.380,0","27.700,0","17,59K","0,36%"
"23.01.2025","27.900,0","27.400,0","27.900,0","27.400,0","28,93K","1,82%"
"22.01.2025","27.400,0","27.400,0","27.400,0","27.040,0","16,69K","0,00%"
"21.01.2025","27.400,0","27.200,0","27.460,0","27.200,0","6,88K","0,07%"
"20.01.2025","27.380,0","26.900,0","27.460,0","26.900,0","16,78K","0,66%"
"17.01.2025","27.200,0","27.460,0","27.460,0","27.160,0","9,55K","-1,09%"
"16.01.2025","27.500,0","27.080,0","27.500,0","27.060,0","23,40K","3,38%"
"15.01.2025","26.600,0","26.560,0","26.860,0","26.560,0","3,17K","0,15%"
"14.01.2025","26.560,0","26.560,0","26.560,0","26.560,0","2,16K","-0,15%"
"13.01.2025","26.600,0","26.840,0","26.860,0","26.600,0","19,36K","-0,97%"
"10.01.2025","26.860,0","26.860,0","26.960,0","26.480,0","9,58K","-0,15%"
"09.01.2025","26.900,0","26.700,0","26.980,0","26.460,0","14,17K","0,15%"
"08.01.2025","26.860,0","26.620,0","26.860,0","26.620,0","4,59K","-0,52%"
"07.01.2025","27.000,0","26.800,0","27.000,0","26.520,0","12,13K","1,89%"
"03.01.2025","26.500,0","26.120,0","26.600,0","26.000,0","7,69K","-1,34%"
"02.01.2025","26.860,0","26.860,0","26.860,0","26.860,0","1,73K","0,00%"
"30.12.2024","26.860,0","26.600,0","26.860,0","26.580,0","3,22K","1,21%"
"27.12.2024","26.540,0","26.760,0","27.000,0","26.540,0","3,96K","1,14%"
"26.12.2024","26.240,0","26.240,0","26.240,0","26.240,0","0,96K","0,00%"
"24.12.2024","26.240,0","26.240,0","26.240,0","26.240,0","0,60K","-1,65%"
"23.12.2024","26.680,0","26.280,0","26.680,0","26.240,0","3,51K","-0,07%"
"20.12.2024","26.700,0","26.080,0","26.700,0","26.080,0","5,19K","2,46%"
"19.12.2024","26.060,0","26.040,0","26.140,0","26.040,0","11,17K","-0,08%"
"18.12.2024","26.080,0","26.860,0","26.860,0","26.080,0","25,22K","-2,76%"
"17.12.2024","26.820,0","26.820,0","26.820,0","26.820,0","0,95K","-0,15%"
"16.12.2024","26.860,0","26.740,0","26.860,0","26.740,0","9,63K","0,00%"
"13.12.2024","26.860,0","26.760,0","26.860,0","26.700,0","11,95K","-0,22%"
"12.12.2024","26.920,0","26.920,0","26.920,0","26.920,0","2,60K","0,07%"
"11.12.2024","26.900,0","26.900,0","26.900,0","26.820,0","10,01K","0,00%"
"10.12.2024","26.900,0","26.960,0","26.960,0","26.900,0","7,01K","-1,03%"
"09.12.2024","27.180,0","26.920,0","27.180,0","26.900,0","14,77K","-0,44%"
"06.12.2024","27.300,0","27.300,0","27.300,0","27.300,0","0,50K","1,26%"
"05.12.2024","26.960,0","27.100,0","27.300,0","26.960,0","21,79K","-0,22%"
"04.12.2024","27.020,0","27.060,0","27.060,0","27.000,0","9,42K","-0,73%"
"03.12.2024","27.220,0","27.280,0","27.280,0","27.220,0","3,74K","-0,95%"
"02.12.2024","27.480,0","27.480,0","27.480,0","27.480,0","1,00K","0,00%"
"29.11.2024","27.480,0","27.300,0","27.480,0","27.040,0","4,46K","0,37%"
"28.11.2024","27.380,0","27.320,0","27.500,0","27.000,0","39,24K","-0,36%"
"27.11.2024","27.480,0","27.480,0","27.500,0","27.480,0","2,22K","0,29%"
"26.11.2024","27.400,0","27.400,0","27.400,0","27.340,0","43,28K","2,62%"
"25.11.2024","26.700,0","27.300,0","27.340,0","26.700,0","249,03K","-3,89%"
"22.11.2024","27.780,0","27.300,0","27.780,0","27.300,0","19,16K","1,76%"
"21.11.2024","27.300,0","27.380,0","27.480,0","27.300,0","68,07K","0,00%"
"20.11.2024","27.300,0","27.060,0","27.300,0","27.000,0","15,73K","-0,36%"
"19.11.2024","27.400,0","27.400,0","27.400,0","27.200,0","5,49K","-0,29%"
"18.11.2024","27.480,0","27.200,0","27.480,0","27.200,0","11,48K","0,73%"
"15.11.2024","27.280,0","27.140,0","27.280,0","27.140,0","4,52K","0,29%"
"14.11.2024","27.200,0","27.160,0","27.200,0","27.140,0","2,99K","-0,29%"
"13.11.2024","27.280,0","27.240,0","27.280,0","27.000,0","9,56K","0,29%"
"12.11.2024","27.200,0","27.040,0","27.500,0","27.040,0","6,41K","-0,22%"
"08.11.2024","27.260,0","27.100,0","27.600,0","27.000,0","9,31K","-1,23%"
"07.11.2024","27.600,0","27.800,0","27.800,0","27.380,0","4,31K","-0,86%"
"06.11.2024","27.840,0","28.000,0","28.100,0","27.800,0","6,68K","-1,42%"
"05.11.2024","28.240,0","28.100,0","28.400,0","28.100,0","9,11K","-0,07%"
"01.11.2024","28.260,0","28.240,0","28.300,0","28.240,0","16,27K","0,57%"
"31.10.2024","28.100,0","27.500,0","28.220,0","27.500,0","23,63K","2,26%"
"30.10.2024","27.480,0","27.460,0","27.500,0","27.160,0","6,03K","0,00%"
"29.10.2024","27.480,0","27.200,0","27.480,0","27.040,0","3,55K","-0,07%"
"28.10.2024","27.500,0","27.600,0","27.700,0","27.460,0","25,96K","-0,07%"
"25.10.2024","27.520,0","27.520,0","27.520,0","27.520,0","1,74K","-0,79%"
"24.10.2024","27.740,0","27.740,0","27.740,0","27.740,0","0,53K","0,87%"
"23.10.2024","27.500,0","27.600,0","27.600,0","27.500,0","7,09K","-0,43%"
"22.10.2024","27.620,0","28.000,0","28.000,0","27.600,0","5,15K","-0,58%"
"21.10.2024","27.780,0","28.220,0","28.220,0","27.600,0","15,97K","0,58%"
"18.10.2024","27.620,0","27.780,0","28.160,0","27.300,0","60,22K","0,51%"
"17.10.2024","27.480,0","27.020,0","27.560,0","27.020,0","18,89K","-0,36%"
"16.10.2024","27.580,0","27.080,0","27.700,0","26.980,0","20,51K","2,00%"
"15.10.2024","27.040,0","27.040,0","27.040,0","27.040,0","2,29K","-1,31%"
"11.10.2024","27.400,0","27.040,0","27.400,0","27.040,0","4,21K","1,71%"
"10.10.2024","26.940,0","26.980,0","26.980,0","26.940,0","2,88K","-0,96%"
"09.10.2024","27.200,0","26.760,0","27.200,0","25.040,0","7,21K","-0,87%"
"08.10.2024","27.440,0","27.040,0","27.440,0","27.000,0","7,86K","1,03%"
"07.10.2024","27.160,0","27.160,0","27.760,0","27.160,0","4,51K","-2,23%"
"04.10.2024","27.780,0","27.080,0","27.780,0","27.080,0","6,51K","0,43%"
"03.10.2024","27.660,0","27.120,0","27.660,0","27.120,0","9,96K","1,62%"
"02.10.2024","27.220,0","28.000,0","28.000,0","27.220,0","3,08K","-1,73%"
"01.10.2024","27.700,0","28.000,0","28.000,0","27.700,0","16,73K","-0,07%"
"30.09.2024","27.720,0","28.380,0","28.380,0","27.500,0","4,30K","-0,36%"
"27.09.2024","27.820,0","27.960,0","27.960,0","27.400,0","4,45K","2,13%"
"26.09.2024","27.240,0","27.240,0","27.240,0","27.240,0","","0,00%"
"25.09.2024","27.240,0","27.520,0","27.520,0","27.240,0","3,42K","-1,45%"
"24.09.2024","27.640,0","27.780,0","28.000,0","27.200,0","4,02K","-0,22%"
"23.09.2024","27.700,0","27.900,0","27.900,0","27.700,0","3,60K","-0,72%"
"20.09.2024","27.900,0","28.200,0","28.700,0","27.900,0","41,55K","-0,92%"
"19.09.2024","28.160,0","28.000,0","28.200,0","28.000,0","11,04K","0,57%"
"18.09.2024","28.000,0","27.620,0","28.000,0","27.620,0","5,17K","-0,36%"
"17.09.2024","28.100,0","27.760,0","28.300,0","27.740,0","5,02K","0,79%"
"16.09.2024","27.880,0","28.400,0","28.400,0","27.880,0","7,06K","-1,06%"
"13.09.2024","28.180,0","28.180,0","28.180,0","28.000,0","2,30K","-0,07%"
"12.09.2024","28.200,0","28.000,0","28.200,0","27.660,0","8,79K","1,00%"
"11.09.2024","27.920,0","27.780,0","28.460,0","27.660,0","5,66K","-1,90%"
"10.09.2024","28.460,0","27.600,0","28.460,0","27.600,0","2,72K","2,30%"
"09.09.2024","27.820,0","28.000,0","28.240,0","27.820,0","7,47K","-1,56%"
"06.09.2024","28.260,0","27.720,0","28.260,0","27.720,0","1,38K","-0,14%"
"05.09.2024","28.300,0","27.500,0","28.300,0","27.500,0","13,83K","0,35%"
"04.09.2024","28.200,0","28.200,0","28.200,0","28.200,0","6,46K","-0,84%"
"03.09.2024","28.440,0","28.440,0","28.440,0","28.440,0","3,32K","-1,93%"
"30.08.2024","29.000,0","28.100,0","29.000,0","28.000,0","320,09K","2,76%"
"28.08.2024","28.220,0","27.900,0","28.240,0","27.900,0","13,44K","0,79%"
"27.08.2024","28.000,0","27.900,0","28.000,0","27.900,0","5,41K","-1,06%"
"26.08.2024","28.300,0","27.500,0","28.300,0","27.500,0","22,00K","2,91%"
"23.08.2024","27.500,0","27.000,0","27.500,0","27.000,0","65,54K","1,55%"
"22.08.2024","27.080,0","26.940,0","27.080,0","26.000,0","28,16K","1,27%"
"21.08.2024","26.740,0","25.800,0","26.740,0","25.760,0","71,68K","4,95%"
"16.08.2024","25.480,0","25.480,0","25.480,0","25.480,0","1,80K","-0,08%"
"15.08.2024","25.500,0","25.300,0","25.500,0","25.100,0","7,14K","2,00%"
"14.08.2024","25.000,0","25.500,0","25.500,0","25.000,0","7,86K","0,08%"
"13.08.2024","24.980,0","25.000,0","25.000,0","24.900,0","12,58K","0,16%"
"12.08.2024","24.940,0","24.940,0","24.940,0","24.940,0","2,40K","-0,24%"
"09.08.2024","25.000,0","24.980,0","25.000,0","24.980,0","5,71K","0,16%"
"08.08.2024","24.960,0","24.800,0","24.960,0","24.800,0","2,62K","1,46%"
"06.08.2024","24.600,0","24.700,0","24.800,0","24.600,0","4,16K","-0,73%"
"05.08.2024","24.780,0","24.920,0","24.920,0","24.000,0","11,78K","-0,88%"
"02.08.2024","25.000,0","25.000,0","25.020,0","25.000,0","8,86K","0,00%"
"01.08.2024","25.000,0","25.100,0","25.100,0","25.000,0","10,98K","-0,08%"
"31.07.2024","25.020,0","25.020,0","25.100,0","25.000,0","16,65K","0,00%"
"30.07.2024","25.020,0","25.420,0","25.420,0","25.020,0","14,59K","-1,73%"
"29.07.2024","25.460,0","25.440,0","25.460,0","25.440,0","3,23K","0,24%"
"26.07.2024","25.400,0","25.340,0","25.460,0","25.340,0","4,94K","-0,08%"
"25.07.2024","25.420,0","25.440,0","25.440,0","25.420,0","3,80K","-0,08%"
"24.07.2024","25.440,0","25.480,0","25.480,0","25.440,0","3,48K","-1,01%"
"23.07.2024","25.700,0","25.500,0","25.700,0","25.440,0","2,64K","0,78%"
"22.07.2024","25.500,0","25.600,0","25.600,0","25.500,0","9,17K","-0,39%"
