"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","4.490,0","4.500,0","4.520,0","4.490,0","243,44K","-0,33%"
"12.06.2025","4.505,0","4.550,0","4.600,0","4.500,0","157,28K","-0,99%"
"11.06.2025","4.550,0","4.560,0","4.570,0","4.500,0","160,10K","-0,22%"
"10.06.2025","4.560,0","4.400,0","4.580,0","4.400,0","524,79K","3,17%"
"09.06.2025","4.420,0","4.465,0","4.465,0","4.400,0","139,39K","-0,56%"
"06.06.2025","4.445,0","4.420,0","4.445,0","4.400,0","160,23K","0,91%"
"05.06.2025","4.405,0","4.390,0","4.425,0","4.380,0","438,62K","0,57%"
"04.06.2025","4.380,0","4.390,0","4.390,0","4.345,0","123,37K","-0,11%"
"03.06.2025","4.385,0","4.240,0","4.385,0","4.240,0","159,27K","3,91%"
"30.05.2025","4.220,0","4.315,0","4.350,0","4.220,0","632,15K","-4,09%"
"29.05.2025","4.400,0","4.325,0","4.400,0","4.325,0","136,55K","2,33%"
"28.05.2025","4.300,0","4.355,0","4.390,0","4.300,0","280,74K","-2,05%"
"27.05.2025","4.390,0","4.400,0","4.400,0","4.360,0","202,70K","-0,11%"
"26.05.2025","4.395,0","4.405,0","4.410,0","4.390,0","87,52K","-0,34%"
"23.05.2025","4.410,0","4.350,0","4.415,0","4.320,0","208,62K","2,32%"
"22.05.2025","4.310,0","4.300,0","4.330,0","4.300,0","161,52K","-0,46%"
"21.05.2025","4.330,0","4.260,0","4.330,0","4.260,0","98,23K","0,70%"
"20.05.2025","4.300,0","4.280,0","4.300,0","4.260,0","104,61K","-0,35%"
"19.05.2025","4.315,0","4.320,0","4.320,0","4.270,0","161,57K","-0,12%"
"16.05.2025","4.320,0","4.295,0","4.320,0","4.220,0","258,04K","-0,46%"
"15.05.2025","4.340,0","4.390,0","4.390,0","4.330,0","155,05K","-1,92%"
"14.05.2025","4.425,0","4.240,0","4.425,0","4.240,0","533,05K","4,00%"
"13.05.2025","4.255,0","4.165,0","4.255,0","4.165,0","405,01K","2,16%"
"12.05.2025","4.165,0","4.150,0","4.165,0","4.100,0","235,69K","0,36%"
"09.05.2025","4.150,0","4.080,0","4.170,0","4.050,0","278,86K","1,72%"
"08.05.2025","4.080,0","4.070,0","4.090,0","4.060,0","242,00K","0,12%"
"07.05.2025","4.075,0","4.050,0","4.090,0","4.045,0","573,00K","1,24%"
