"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","10.600,0","10.560,0","10.600,0","10.340,0","430,18K","0,38%"
"12.06.2025","10.560,0","10.680,0","10.720,0","10.520,0","254,54K","-1,31%"
"11.06.2025","10.700,0","10.680,0","10.720,0","10.660,0","531,90K","0,19%"
"10.06.2025","10.680,0","10.500,0","10.700,0","10.500,0","522,56K","1,52%"
"09.06.2025","10.520,0","10.580,0","10.660,0","10.520,0","257,29K","-0,38%"
"06.06.2025","10.560,0","10.660,0","10.700,0","10.560,0","297,09K","-0,94%"
"05.06.2025","10.660,0","10.520,0","10.700,0","10.460,0","420,79K","1,52%"
"04.06.2025","10.500,0","10.480,0","10.500,0","10.400,0","401,42K","0,38%"
"03.06.2025","10.460,0","10.480,0","10.580,0","10.400,0","466,66K","0,19%"
"30.05.2025","10.440,0","10.660,0","10.660,0","10.440,0","5,94M","-0,95%"
"29.05.2025","10.540,0","10.720,0","10.740,0","10.460,0","908,40K","0,00%"
"28.05.2025","10.540,0","10.600,0","10.600,0","10.540,0","454,00K","-0,57%"
"27.05.2025","10.600,0","10.960,0","10.960,0","10.600,0","857,71K","-3,28%"
"26.05.2025","10.960,0","10.900,0","10.960,0","10.900,0","240,46K","0,55%"
"23.05.2025","10.900,0","10.760,0","10.940,0","10.740,0","550,99K","1,49%"
"22.05.2025","10.740,0","10.680,0","10.760,0","10.580,0","419,02K","0,37%"
"21.05.2025","10.700,0","10.660,0","10.780,0","10.640,0","362,51K","1,13%"
"20.05.2025","10.580,0","10.600,0","10.660,0","10.480,0","460,96K","-0,75%"
"19.05.2025","10.660,0","10.560,0","10.700,0","10.560,0","297,79K","1,72%"
"16.05.2025","10.480,0","10.420,0","10.600,0","10.420,0","334,27K","0,19%"
"15.05.2025","10.460,0","10.420,0","10.540,0","10.340,0","300,76K","-0,19%"
"14.05.2025","10.480,0","10.760,0","10.840,0","10.440,0","369,86K","-3,85%"
"13.05.2025","10.900,0","10.800,0","10.900,0","10.760,0","277,97K","1,30%"
"12.05.2025","10.760,0","10.760,0","10.800,0","10.700,0","315,36K","-0,19%"
"09.05.2025","10.780,0","10.760,0","10.780,0","10.620,0","305,14K","-0,74%"
