"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","17.400,0","17.740,0","17.740,0","17.400,0","58,02K","-2,79%"
"12.06.2025","17.900,0","18.000,0","18.020,0","17.900,0","40,09K","-1,10%"
"11.06.2025","18.100,0","18.100,0","18.100,0","18.000,0","11,35K","-1,52%"
"10.06.2025","18.380,0","18.400,0","18.400,0","18.060,0","15,77K","0,55%"
"09.06.2025","18.280,0","18.460,0","18.460,0","18.060,0","13,73K","-0,87%"
"06.06.2025","18.440,0","18.480,0","18.500,0","17.820,0","99,75K","0,77%"
"05.06.2025","18.300,0","18.620,0","18.620,0","18.280,0","96,01K","-1,82%"
"04.06.2025","18.640,0","18.460,0","18.680,0","18.460,0","17,82K","0,65%"
"03.06.2025","18.520,0","18.100,0","18.520,0","18.100,0","9,75K","0,11%"
"30.05.2025","18.500,0","18.380,0","18.500,0","18.080,0","71,85K","0,43%"
"29.05.2025","18.420,0","18.380,0","18.420,0","18.160,0","36,38K","0,11%"
"28.05.2025","18.400,0","17.780,0","18.400,0","17.780,0","28,54K","3,95%"
"27.05.2025","17.700,0","17.520,0","17.780,0","17.480,0","39,06K","-1,56%"
"26.05.2025","17.980,0","17.940,0","17.980,0","17.940,0","7,56K","-0,88%"
"23.05.2025","18.140,0","18.000,0","18.160,0","17.980,0","27,05K","0,22%"
"22.05.2025","18.100,0","18.100,0","18.100,0","17.580,0","15,83K","0,00%"
"21.05.2025","18.100,0","18.000,0","18.100,0","17.940,0","12,43K","0,11%"
"20.05.2025","18.080,0","18.000,0","18.240,0","18.000,0","46,49K","0,44%"
"19.05.2025","18.000,0","18.100,0","18.100,0","17.920,0","26,39K","-1,75%"
"16.05.2025","18.320,0","18.120,0","18.320,0","18.100,0","13,84K","-0,43%"
"15.05.2025","18.400,0","18.400,0","18.680,0","17.100,0","223,62K","0,11%"
"14.05.2025","18.380,0","18.300,0","18.600,0","18.040,0","199,29K","0,99%"
"13.05.2025","18.200,0","17.500,0","18.300,0","17.500,0","127,39K","3,41%"
"12.05.2025","17.600,0","17.200,0","17.700,0","17.020,0","105,99K","2,33%"
"09.05.2025","17.200,0","17.300,0","17.500,0","17.200,0","79,91K","-0,69%"
"08.05.2025","17.320,0","17.340,0","17.500,0","17.260,0","73,00K","0,23%"
"07.05.2025","17.280,0","16.980,0","17.320,0","16.980,0","139,97K","1,89%"
"06.05.2025","16.960,0","16.780,0","17.100,0","16.780,0","38,14K","1,68%"
"05.05.2025","16.680,0","16.660,0","16.680,0","16.660,0","17,12K","0,12%"
"02.05.2025","16.660,0","16.660,0","16.760,0","16.620,0","25,32K","0,60%"
"30.04.2025","16.560,0","16.420,0","16.560,0","16.420,0","30,23K","0,00%"
"29.04.2025","16.560,0","16.280,0","16.560,0","16.280,0","82,18K","2,60%"
"28.04.2025","16.140,0","16.120,0","16.280,0","16.120,0","43,82K","-0,37%"
"25.04.2025","16.200,0","16.300,0","16.300,0","16.200,0","8,23K","-0,61%"
"24.04.2025","16.300,0","16.200,0","16.600,0","16.080,0","314,99K","0,87%"
"23.04.2025","16.160,0","16.100,0","16.200,0","16.000,0","480,12K","0,37%"
"22.04.2025","16.100,0","16.000,0","16.220,0","16.000,0","24,08K","0,63%"
"21.04.2025","16.000,0","16.040,0","16.040,0","15.900,0","20,07K","-1,60%"
"16.04.2025","16.260,0","16.180,0","16.300,0","16.180,0","11,11K","0,49%"
"15.04.2025","16.180,0","15.980,0","16.220,0","15.980,0","32,86K","1,38%"
"14.04.2025","15.960,0","15.900,0","15.960,0","15.900,0","5,58K","0,38%"
"11.04.2025","15.900,0","15.760,0","15.960,0","15.700,0","152,49K","0,00%"
"10.04.2025","15.900,0","16.100,0","16.100,0","15.900,0","60,13K","-2,81%"
"09.04.2025","16.360,0","16.100,0","16.360,0","15.820,0","104,55K","4,20%"
"08.04.2025","15.700,0","16.140,0","16.400,0","15.700,0","60,83K","-2,48%"
"07.04.2025","16.100,0","16.300,0","16.400,0","16.000,0","56,16K","-2,42%"
"04.04.2025","16.500,0","16.700,0","16.700,0","16.320,0","70,71K","-2,25%"
"03.04.2025","16.880,0","16.400,0","17.000,0","16.260,0","132,60K","2,68%"
"02.04.2025","16.440,0","16.000,0","16.440,0","16.000,0","227,60K","1,48%"
"01.04.2025","16.200,0","16.400,0","16.440,0","16.200,0","155,04K","-0,86%"
"31.03.2025","16.340,0","16.200,0","16.340,0","16.200,0","67,75K","0,62%"
"28.03.2025","16.240,0","16.000,0","16.280,0","16.000,0","327,98K","0,25%"
"27.03.2025","16.200,0","16.300,0","16.440,0","16.200,0","54,37K","-1,34%"
"26.03.2025","16.420,0","16.440,0","16.500,0","16.200,0","31,52K","-0,12%"
"25.03.2025","16.440,0","16.460,0","16.500,0","16.400,0","62,29K","2,49%"
"21.03.2025","16.040,0","16.880,0","16.980,0","16.040,0","357,37K","-4,98%"
"20.03.2025","16.880,0","17.060,0","17.060,0","16.880,0","5,97K","-1,86%"
"19.03.2025","17.200,0","17.000,0","17.200,0","16.980,0","16,03K","0,00%"
"18.03.2025","17.200,0","17.240,0","17.240,0","16.720,0","34,87K","-0,23%"
"17.03.2025","17.240,0","16.980,0","17.240,0","16.980,0","95,02K","0,82%"
"14.03.2025","17.100,0","17.000,0","17.100,0","16.800,0","87,07K","0,71%"
"13.03.2025","16.980,0","17.300,0","17.300,0","16.980,0","41,06K","-2,97%"
"12.03.2025","17.500,0","17.300,0","17.500,0","17.200,0","100,05K","1,16%"
"11.03.2025","17.300,0","17.340,0","17.340,0","17.200,0","32,51K","-0,12%"
"10.03.2025","17.320,0","17.420,0","17.740,0","17.220,0","134,14K","-3,24%"
"07.03.2025","17.900,0","17.700,0","18.000,0","17.700,0","85,13K","-0,56%"
"06.03.2025","18.000,0","17.980,0","18.000,0","17.860,0","298,80K","0,00%"
"05.03.2025","18.000,0","18.000,0","18.160,0","17.900,0","45,30K","1,93%"
"04.03.2025","17.660,0","17.900,0","17.900,0","17.500,0","65,79K","-2,75%"
"03.03.2025","18.160,0","18.200,0","18.400,0","18.000,0","86,57K","-0,22%"
"28.02.2025","18.200,0","18.340,0","18.560,0","17.900,0","182,54K","-2,05%"
"27.02.2025","18.580,0","18.540,0","18.820,0","18.540,0","347,49K","-3,23%"
"26.02.2025","19.200,0","19.220,0","19.280,0","18.560,0","139,60K","-0,10%"
"25.02.2025","19.220,0","19.700,0","19.860,0","19.220,0","153,18K","-2,44%"
"24.02.2025","19.700,0","19.140,0","19.800,0","19.000,0","61,05K","1,23%"
