"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","489,0","485,0","493,0","480,0","1,00M","-2,20%"
"12.06.2025","500,0","489,0","505,0","480,0","2,10M","2,46%"
"11.06.2025","488,0","485,0","488,0","485,0","179,29K","-0,20%"
"10.06.2025","489,0","487,0","490,0","484,0","375,85K","1,03%"
"09.06.2025","484,0","472,0","484,0","472,0","271,57K","1,89%"
"06.06.2025","475,0","482,0","483,0","475,0","464,32K","-1,66%"
"05.06.2025","483,0","485,0","490,0","474,0","1,13M","-0,41%"
"04.06.2025","485,0","493,0","493,0","479,0","896,24K","-0,21%"
"03.06.2025","486,0","480,0","495,0","480,0","750,53K","1,89%"
"30.05.2025","477,0","477,0","477,0","477,0","124,84K","-2,65%"
"29.05.2025","490,0","482,0","490,0","482,0","155,00K","1,03%"
"28.05.2025","485,0","486,0","486,0","485,0","89,41K","-1,02%"
"27.05.2025","490,0","485,0","491,0","483,0","169,67K","-0,41%"
"26.05.2025","492,0","489,0","492,0","487,0","174,55K","1,44%"
"23.05.2025","485,0","479,0","487,0","479,0","192,57K","-0,82%"
"22.05.2025","489,0","488,0","489,0","482,0","267,08K","-1,41%"
"21.05.2025","496,0","491,0","498,0","491,0","327,80K","-0,80%"
"20.05.2025","500,0","511,0","512,0","500,0","457,29K","-2,53%"
"19.05.2025","513,0","513,0","515,0","502,0","808,36K","0,00%"
"16.05.2025","513,0","490,0","515,0","490,0","1,63M","6,43%"
"15.05.2025","482,0","490,0","490,0","482,0","398,23K","-2,23%"
"14.05.2025","493,0","478,0","499,0","475,0","1,12M","3,79%"
"13.05.2025","475,0","465,0","479,0","465,0","971,04K","2,15%"
"12.05.2025","465,0","451,0","465,0","450,0","351,00K","2,42%"
"09.05.2025","454,0","452,0","454,0","445,0","716,52K","-0,44%"
"08.05.2025","456,0","453,0","459,0","449,0","201,92K","0,22%"
"07.05.2025","455,0","454,0","455,0","454,0","115,29K","0,22%"
"06.05.2025","454,0","454,0","454,0","454,0","53,62K","0,00%"
"05.05.2025","454,0","446,0","467,0","446,0","1,03M","1,79%"
"02.05.2025","446,0","453,0","453,0","446,0","264,81K","-1,55%"
"30.04.2025","453,0","446,0","453,0","446,0","238,49K","0,00%"
"29.04.2025","453,0","451,0","453,0","451,0","461,42K","1,34%"
"28.04.2025","447,0","460,0","460,0","445,0","329,68K","-1,11%"
"25.04.2025","452,0","472,0","472,0","450,0","1,03M","-4,24%"
"24.04.2025","472,0","470,0","472,0","470,0","127,96K","0,00%"
"23.04.2025","472,0","472,0","472,0","472,0","141,30K","0,43%"
"22.04.2025","470,0","483,0","483,0","467,0","417,15K","-0,42%"
"21.04.2025","472,0","474,0","474,0","471,0","133,10K","-3,08%"
"16.04.2025","487,0","462,0","495,0","462,0","1,05M","4,73%"
"15.04.2025","465,0","458,0","465,0","458,0","120,25K","2,65%"
"14.04.2025","453,0","443,0","453,0","443,0","214,78K","2,72%"
"11.04.2025","441,0","426,0","447,0","426,0","521,45K","-0,23%"
"10.04.2025","442,0","451,0","451,0","425,0","601,75K","-2,00%"
"09.04.2025","451,0","428,0","451,0","428,0","1,35M","0,45%"
"08.04.2025","449,0","454,0","455,0","449,0","255,08K","0,00%"
"07.04.2025","449,0","440,0","449,0","440,0","437,00K","1,13%"
"04.04.2025","444,0","450,0","450,0","444,0","809,49K","-5,53%"
"03.04.2025","470,0","451,0","470,0","450,0","1,40M","1,08%"
"02.04.2025","465,0","470,0","470,0","457,0","672,36K","-2,11%"
"01.04.2025","475,0","471,0","475,0","470,0","186,32K","0,85%"
"31.03.2025","471,0","470,0","479,0","465,0","722,36K","-1,88%"
"28.03.2025","480,0","478,0","480,0","472,0","870,64K","-2,83%"
"27.03.2025","494,0","494,0","494,0","494,0","94,36K","0,00%"
"26.03.2025","494,0","494,0","494,0","494,0","58,39K","1,02%"
"25.03.2025","489,0","486,0","494,0","485,0","910,26K","-1,81%"
"21.03.2025","498,0","495,0","498,0","487,0","228,51K","-0,40%"
"20.03.2025","500,0","500,0","508,0","500,0","1,03M","-0,40%"
"19.03.2025","502,0","485,0","509,0","485,0","695,58K","3,51%"
"18.03.2025","485,0","490,0","493,0","480,0","1,19M","-2,02%"
"17.03.2025","495,0","495,0","502,0","486,0","447,37K","-0,80%"
"14.03.2025","499,0","503,0","503,0","486,0","1,12M","0,40%"
"13.03.2025","497,0","494,0","499,0","490,0","623,85K","0,20%"
"12.03.2025","496,0","490,0","504,0","490,0","209,49K","0,81%"
"11.03.2025","492,0","492,0","492,0","490,0","356,97K","-1,60%"
"10.03.2025","500,0","512,0","512,0","500,0","704,25K","-1,96%"
