"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","1.985,0","1.930,0","2.010,0","1.930,0","37,47M","3,12%"
"12.06.2025","1.925,0","1.920,0","1.950,0","1.920,0","16,24M","-0,26%"
"11.06.2025","1.930,0","1.905,0","1.945,0","1.900,0","25,06M","1,85%"
"10.06.2025","1.895,0","1.865,0","1.915,0","1.865,0","23,72M","2,43%"
"09.06.2025","1.850,0","1.850,0","1.870,0","1.820,0","12,51M","0,27%"
"06.06.2025","1.845,0","1.810,0","1.855,0","1.805,0","22,16M","3,65%"
"05.06.2025","1.780,0","1.780,0","1.790,0","1.780,0","4,10M","0,85%"
"04.06.2025","1.765,0","1.775,0","1.820,0","1.765,0","17,93M","-0,56%"
"03.06.2025","1.775,0","1.750,0","1.775,0","1.745,0","8,95M","2,01%"
"30.05.2025","1.740,0","1.780,0","1.785,0","1.740,0","14,59M","-3,06%"
"29.05.2025","1.795,0","1.770,0","1.800,0","1.765,0","11,21M","0,84%"
"28.05.2025","1.780,0","1.755,0","1.805,0","1.755,0","4,70M","0,00%"
"27.05.2025","1.780,0","1.785,0","1.795,0","1.780,0","10,30M","1,14%"
"26.05.2025","1.760,0","1.780,0","1.780,0","1.760,0","1,45M","-1,12%"
"23.05.2025","1.780,0","1.765,0","1.785,0","1.765,0","6,76M","0,00%"
"22.05.2025","1.780,0","1.765,0","1.785,0","1.745,0","7,51M","0,28%"
"21.05.2025","1.775,0","1.800,0","1.800,0","1.765,0","5,59M","-0,84%"
"20.05.2025","1.790,0","1.800,0","1.800,0","1.785,0","3,90M","-0,83%"
"19.05.2025","1.805,0","1.800,0","1.805,0","1.760,0","14,19M","-0,28%"
"16.05.2025","1.810,0","1.810,0","1.815,0","1.790,0","10,60M","0,56%"
"15.05.2025","1.800,0","1.795,0","1.810,0","1.765,0","10,03M","-1,10%"
"14.05.2025","1.820,0","1.815,0","1.820,0","1.795,0","7,92M","0,00%"
"13.05.2025","1.820,0","1.750,0","1.840,0","1.750,0","20,82M","4,00%"
"12.05.2025","1.750,0","1.775,0","1.775,0","1.730,0","13,21M","1,74%"
"09.05.2025","1.720,0","1.725,0","1.755,0","1.720,0","10,03M","0,00%"
"08.05.2025","1.720,0","1.705,0","1.730,0","1.695,0","11,25M","1,78%"
"07.05.2025","1.690,0","1.695,0","1.745,0","1.685,0","22,63M","0,00%"
"06.05.2025","1.690,0","1.720,0","1.725,0","1.690,0","16,08M","-0,29%"
"05.05.2025","1.695,0","1.720,0","1.720,0","1.685,0","14,82M","-2,31%"
"02.05.2025","1.735,0","1.740,0","1.745,0","1.685,0","28,92M","0,58%"
"30.04.2025","1.725,0","1.750,0","1.750,0","1.690,0","18,73M","-1,43%"
"29.04.2025","1.750,0","1.785,0","1.785,0","1.735,0","23,77M","-1,96%"
"28.04.2025","1.785,0","1.810,0","1.840,0","1.785,0","13,69M","-2,46%"
