"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","21.580,0","21.920,0","21.920,0","21.400,0","154,30K","-1,73%"
"12.06.2025","21.960,0","21.960,0","21.960,0","21.920,0","41,24K","0,00%"
"11.06.2025","21.960,0","21.800,0","21.960,0","21.760,0","55,10K","0,73%"
"10.06.2025","21.800,0","21.800,0","21.800,0","21.760,0","32,81K","-0,37%"
"09.06.2025","21.880,0","21.880,0","21.920,0","21.840,0","44,60K","-0,36%"
"06.06.2025","21.960,0","21.920,0","21.960,0","21.800,0","30,42K","0,00%"
"05.06.2025","21.960,0","21.660,0","21.980,0","21.640,0","127,17K","-0,09%"
"04.06.2025","21.980,0","21.980,0","21.980,0","21.960,0","44,54K","0,00%"
"03.06.2025","21.980,0","21.780,0","21.980,0","21.600,0","84,23K","2,23%"
"30.05.2025","21.500,0","21.600,0","21.900,0","21.500,0","166,11K","-1,83%"
"29.05.2025","21.900,0","21.840,0","21.980,0","21.700,0","79,10K","0,37%"
"28.05.2025","21.820,0","21.900,0","21.900,0","21.660,0","170,00K","-0,73%"
"27.05.2025","21.980,0","21.780,0","21.980,0","21.780,0","35,13K","0,83%"
"26.05.2025","21.800,0","21.760,0","21.800,0","21.740,0","24,10K","0,18%"
"23.05.2025","21.760,0","21.700,0","21.780,0","21.600,0","161,68K","0,09%"
"22.05.2025","21.740,0","21.680,0","21.780,0","21.620,0","51,20K","0,28%"
"21.05.2025","21.680,0","21.720,0","21.720,0","21.540,0","123,42K","-0,46%"
"20.05.2025","21.780,0","21.940,0","21.980,0","21.700,0","164,15K","-0,91%"
"19.05.2025","21.980,0","21.560,0","21.980,0","21.520,0","89,45K","2,14%"
"16.05.2025","21.520,0","21.560,0","21.600,0","21.520,0","47,21K","-0,19%"
"15.05.2025","21.560,0","21.500,0","21.560,0","21.500,0","30,54K","0,28%"
"14.05.2025","21.500,0","21.880,0","21.880,0","21.500,0","94,69K","-1,65%"
"13.05.2025","21.860,0","21.880,0","21.960,0","21.820,0","60,61K","-0,09%"
"12.05.2025","21.880,0","21.800,0","21.880,0","21.800,0","23,50K","-0,45%"
"09.05.2025","21.980,0","21.980,0","22.000,0","21.960,0","60,08K","0,00%"
"08.05.2025","21.980,0","21.800,0","21.980,0","21.720,0","75,20K","1,76%"
"07.05.2025","21.600,0","21.620,0","21.800,0","21.600,0","100,18K","-1,28%"
"06.05.2025","21.880,0","21.600,0","21.880,0","21.600,0","13,37K","0,09%"
"05.05.2025","21.860,0","21.980,0","21.980,0","21.860,0","33,08K","-0,27%"
"02.05.2025","21.920,0","21.560,0","21.980,0","21.560,0","189,82K","-0,27%"
"30.04.2025","21.980,0","21.600,0","22.000,0","21.500,0","504,09K","-0,09%"
"29.04.2025","22.000,0","21.640,0","22.000,0","21.640,0","282,77K","0,73%"
"28.04.2025","21.840,0","21.540,0","21.980,0","21.500,0","32,13K","-0,64%"
"25.04.2025","21.980,0","21.500,0","21.980,0","21.340,0","1,08M","2,23%"
"24.04.2025","21.500,0","21.000,0","21.700,0","21.000,0","92,16K","0,00%"
"23.04.2025","21.500,0","21.240,0","21.500,0","21.180,0","286,22K","1,22%"
"22.04.2025","21.240,0","21.380,0","21.380,0","20.520,0","364,52K","0,00%"
"21.04.2025","21.240,0","21.240,0","21.280,0","20.780,0","162,45K","0,00%"
"16.04.2025","21.240,0","21.260,0","21.260,0","21.100,0","19,86K","0,09%"
"15.04.2025","21.220,0","21.000,0","21.240,0","21.000,0","31,34K","1,05%"
"14.04.2025","21.000,0","21.100,0","21.220,0","20.440,0","94,63K","2,24%"
"11.04.2025","20.540,0","20.980,0","21.220,0","20.540,0","77,18K","0,69%"
"10.04.2025","20.400,0","21.020,0","21.020,0","20.400,0","171,56K","-5,12%"
"09.04.2025","21.500,0","20.900,0","21.500,0","20.400,0","243,62K","2,38%"
"08.04.2025","21.000,0","21.700,0","21.760,0","20.900,0","201,50K","-2,33%"
"07.04.2025","21.500,0","21.200,0","21.500,0","20.920,0","365,68K","0,00%"
