"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","69.800,00","70.400,00","70.400,00","69.800,00","3,50K","-0,85%"
"12.06.2025","70.400,00","70.060,00","70.500,00","70.060,00","3,65K","0,69%"
"11.06.2025","69.920,00","69.920,00","69.920,00","69.920,00","0,63K","0,00%"
"10.06.2025","69.920,00","70.000,00","70.700,00","69.920,00","8,04K","-0,09%"
"09.06.2025","69.980,00","69.560,00","70.000,00","69.500,00","4,69K","-0,03%"
"06.06.2025","70.000,00","69.800,00","70.000,00","69.600,00","2,36K","-0,14%"
"05.06.2025","70.100,00","70.100,00","70.100,00","70.100,00","0,65K","-0,40%"
"04.06.2025","70.380,00","69.740,00","70.380,00","69.500,00","8,35K","0,54%"
"03.06.2025","70.000,00","70.000,00","70.020,00","69.920,00","2,87K","0,14%"
"30.05.2025","69.900,00","70.000,00","70.420,00","69.900,00","2,11K","-0,11%"
"29.05.2025","69.980,00","70.460,00","71.260,00","69.980,00","11,13K","-2,59%"
"28.05.2025","71.840,00","71.960,00","71.960,00","71.000,00","4,49K","0,06%"
"27.05.2025","71.800,00","71.680,00","71.960,00","71.420,00","5,70K","0,62%"
"26.05.2025","71.360,00","69.000,00","71.360,00","68.500,00","33,73K","3,42%"
"23.05.2025","69.000,00","69.480,00","70.000,00","69.000,00","7,61K","0,67%"
"22.05.2025","68.540,00","69.200,00","70.300,00","68.540,00","14,53K","-0,67%"
"21.05.2025","69.000,00","69.000,00","70.780,00","69.000,00","15,37K","0,00%"
"20.05.2025","69.000,00","70.620,00","71.000,00","68.000,00","65,19K","-1,57%"
"19.05.2025","70.100,00","71.000,00","71.000,00","70.100,00","8,70K","-1,27%"
"16.05.2025","71.000,00","72.800,00","72.840,00","71.000,00","6,58K","-2,63%"
"15.05.2025","72.920,00","73.780,00","73.780,00","72.920,00","1,45K","-0,03%"
"14.05.2025","72.940,00","74.620,00","74.620,00","72.940,00","38,68K","-4,00%"
"13.05.2025","75.980,00","75.000,00","75.980,00","75.000,00","10,99K","1,31%"
"12.05.2025","75.000,00","75.000,00","75.000,00","75.000,00","0,54K","-1,29%"
"09.05.2025","75.980,00","75.980,00","75.980,00","75.980,00","0,30K","0,00%"
"08.05.2025","75.980,00","74.500,00","75.980,00","73.100,00","3,96K","2,68%"
"07.05.2025","74.000,00","73.320,00","74.000,00","73.320,00","1,79K","0,93%"
"06.05.2025","73.320,00","72.180,00","73.320,00","72.180,00","3,42K","1,69%"
"05.05.2025","72.100,00","72.300,00","73.240,00","72.100,00","16,34K","0,14%"
"02.05.2025","72.000,00","71.000,00","72.000,00","71.000,00","20,15K","1,41%"
"30.04.2025","71.000,00","71.500,00","71.500,00","71.000,00","3,43K","-0,70%"
"29.04.2025","71.500,00","71.500,00","71.500,00","71.500,00","1,90K","0,00%"
"28.04.2025","71.500,00","71.500,00","71.500,00","70.000,00","1,78K","-0,69%"
"25.04.2025","72.000,00","72.000,00","72.000,00","72.000,00","1,12K","-0,14%"
"24.04.2025","72.100,00","72.700,00","73.760,00","71.260,00","8,97K","-0,83%"
"23.04.2025","72.700,00","71.100,00","72.700,00","71.100,00","2,71K","2,42%"
"22.04.2025","70.980,00","69.520,00","71.100,00","69.500,00","2,47K","2,10%"
"21.04.2025","69.520,00","69.740,00","71.200,00","69.500,00","6,71K","-2,63%"
"16.04.2025","71.400,00","70.600,00","71.400,00","66.200,00","3,71K","-1,52%"
"15.04.2025","72.500,00","72.500,00","72.500,00","72.500,00","0,13K","0,00%"
"14.04.2025","72.500,00","72.500,00","72.500,00","72.500,00","0,52K","0,00%"
"11.04.2025","72.500,00","72.500,00","72.500,00","72.500,00","0,64K","-0,22%"
"10.04.2025","72.660,00","72.800,00","72.800,00","72.660,00","4,02K","-1,12%"
"09.04.2025","73.480,00","72.800,00","73.500,00","72.800,00","2,09K","-0,62%"
"08.04.2025","73.940,00","73.500,00","75.800,00","73.500,00","4,20K","-1,81%"
"07.04.2025","75.300,00","73.240,00","75.300,00","73.240,00","3,90K","0,00%"
"04.04.2025","75.300,00","75.580,00","75.580,00","73.120,00","3,24K","-1,67%"
"03.04.2025","76.580,00","75.560,00","77.000,00","75.560,00","8,44K","-0,44%"
"02.04.2025","76.920,00","75.900,00","76.980,00","75.560,00","6,79K","1,83%"
"01.04.2025","75.540,00","74.300,00","75.540,00","74.300,00","38,72K","0,88%"
"31.03.2025","74.880,00","74.600,00","75.000,00","73.500,00","18,66K","0,38%"
"28.03.2025","74.600,00","74.340,00","75.240,00","74.340,00","9,82K","-1,19%"
"27.03.2025","75.500,00","74.940,00","75.600,00","74.940,00","21,84K","0,72%"
"26.03.2025","74.960,00","74.700,00","74.960,00","74.500,00","14,24K","0,62%"
"25.03.2025","74.500,00","74.200,00","74.500,00","73.900,00","3,17K","2,05%"
"21.03.2025","73.000,00","74.700,00","74.700,00","73.000,00","14,17K","-1,62%"
"20.03.2025","74.200,00","74.500,00","74.700,00","74.200,00","31,76K","-0,64%"
"19.03.2025","74.680,00","74.000,00","74.680,00","73.440,00","2,11K","0,76%"
"18.03.2025","74.120,00","74.100,00","74.120,00","74.100,00","1,45K","-0,11%"
"17.03.2025","74.200,00","74.800,00","74.800,00","74.200,00","2,81K","-0,86%"
"14.03.2025","74.840,00","74.900,00","74.900,00","74.200,00","2,41K","-0,21%"
"13.03.2025","75.000,00","75.000,00","75.000,00","75.000,00","1,44K","0,00%"
"12.03.2025","75.000,00","75.620,00","75.640,00","74.260,00","6,21K","-0,92%"
"11.03.2025","75.700,00","74.500,00","75.700,00","73.680,00","1,15K","-0,29%"
"10.03.2025","75.920,00","73.480,00","76.000,00","73.000,00","7,82K","2,59%"
"07.03.2025","74.000,00","73.000,00","74.000,00","72.400,00","3,13K","-0,51%"
"06.03.2025","74.380,00","71.980,00","74.800,00","71.980,00","12,83K","3,31%"
"05.03.2025","72.000,00","72.720,00","72.740,00","71.720,00","3,16K","-1,02%"
"04.03.2025","72.740,00","73.000,00","73.000,00","71.000,00","6,60K","-1,09%"
"03.03.2025","73.540,00","71.500,00","73.540,00","71.500,00","2,65K","3,37%"
"28.02.2025","71.140,00","75.000,00","75.380,00","71.140,00","17,20K","-5,15%"
"27.02.2025","75.000,00","72.980,00","75.460,00","72.960,00","14,13K","2,80%"
"26.02.2025","72.960,00","71.300,00","72.980,00","71.020,00","22,61K","2,73%"
"25.02.2025","71.020,00","70.500,00","72.000,00","70.500,00","5,55K","1,46%"
"24.02.2025","70.000,00","69.500,00","71.860,00","69.500,00","12,95K","0,86%"
"21.02.2025","69.400,00","68.800,00","69.500,00","68.700,00","8,00K","0,75%"
"20.02.2025","68.880,00","66.900,00","68.960,00","66.500,00","22,09K","4,05%"
"19.02.2025","66.200,00","66.200,00","66.200,00","65.000,00","98,31K","0,00%"
"18.02.2025","66.200,00","65.480,00","66.980,00","65.480,00","10,62K","1,94%"
"17.02.2025","64.940,00","63.400,00","65.000,00","63.400,00","8,05K","2,46%"
"14.02.2025","63.380,00","63.400,00","63.400,00","63.380,00","3,73K","0,76%"
"13.02.2025","62.900,00","63.500,00","63.500,00","62.900,00","4,02K","-0,82%"
"12.02.2025","63.420,00","63.300,00","64.180,00","63.280,00","8,37K","0,06%"
"11.02.2025","63.380,00","64.600,00","64.600,00","63.280,00","5,52K","-2,04%"
"10.02.2025","64.700,00","64.380,00","64.760,00","64.380,00","12,72K","0,50%"
"07.02.2025","64.380,00","62.100,00","65.000,00","62.100,00","6,85K","4,04%"
"06.02.2025","61.880,00","61.740,00","62.000,00","61.740,00","8,07K","0,13%"
"05.02.2025","61.800,00","61.800,00","61.980,00","61.700,00","10,04K","0,49%"
"04.02.2025","61.500,00","61.500,00","61.500,00","61.500,00","1,48K","-0,77%"
"03.02.2025","61.980,00","61.640,00","61.980,00","61.500,00","3,22K","-0,03%"
"31.01.2025","62.000,00","61.720,00","62.000,00","61.640,00","5,91K","0,00%"
"30.01.2025","62.000,00","62.220,00","62.700,00","61.980,00","7,71K","-0,19%"
"29.01.2025","62.120,00","62.000,00","63.000,00","62.000,00","5,35K","0,55%"
"28.01.2025","61.780,00","60.960,00","61.800,00","60.940,00","11,08K","1,44%"
"27.01.2025","60.900,00","61.800,00","61.800,00","60.900,00","2,27K","-1,14%"
"24.01.2025","61.600,00","61.100,00","62.000,00","61.040,00","5,10K","-1,25%"
"23.01.2025","62.380,00","62.000,00","62.380,00","62.000,00","1,68K","0,61%"
"22.01.2025","62.000,00","61.320,00","62.000,00","61.160,00","3,38K","-0,32%"
"21.01.2025","62.200,00","62.200,00","62.200,00","62.200,00","1,54K","0,32%"
"20.01.2025","62.000,00","63.980,00","63.980,00","62.000,00","6,52K","0,00%"
"17.01.2025","62.000,00","62.360,00","62.360,00","62.000,00","6,77K","0,00%"
"16.01.2025","62.000,00","62.500,00","62.500,00","61.840,00","2,27K","0,49%"
"15.01.2025","61.700,00","63.000,00","63.000,00","61.600,00","3,68K","-1,75%"
"14.01.2025","62.800,00","64.440,00","64.460,00","62.800,00","1,88K","-1,10%"
"13.01.2025","63.500,00","63.120,00","64.480,00","63.120,00","5,00K","-2,25%"
"10.01.2025","64.960,00","64.980,00","64.980,00","64.960,00","1,31K","0,56%"
"09.01.2025","64.600,00","63.100,00","65.000,00","61.600,00","6,35K","0,16%"
"08.01.2025","64.500,00","63.020,00","64.500,00","63.020,00","5,26K","2,67%"
"07.01.2025","62.820,00","61.980,00","64.380,00","61.980,00","11,70K","1,45%"
"03.01.2025","61.920,00","60.900,00","61.920,00","60.900,00","4,02K","2,35%"
"02.01.2025","60.500,00","60.500,00","60.520,00","60.500,00","1,86K","0,17%"
"30.12.2024","60.400,00","60.100,00","60.400,00","60.100,00","1,64K","0,50%"
"27.12.2024","60.100,00","59.420,00","60.100,00","59.420,00","4,62K","2,32%"
"26.12.2024","58.740,00","58.500,00","58.740,00","58.500,00","0,62K","0,62%"
"24.12.2024","58.380,00","57.700,00","58.380,00","57.700,00","0,36K","1,18%"
"23.12.2024","57.700,00","56.820,00","57.700,00","56.820,00","3,66K","3,78%"
"20.12.2024","55.600,00","58.000,00","58.000,00","55.600,00","17,46K","-4,14%"
"19.12.2024","58.000,00","58.560,00","58.560,00","57.500,00","7,12K","-0,51%"
"18.12.2024","58.300,00","58.500,00","58.580,00","58.300,00","3,24K","-0,34%"
"17.12.2024","58.500,00","58.580,00","58.580,00","58.500,00","2,81K","0,00%"
"16.12.2024","58.500,00","58.400,00","58.600,00","57.320,00","5,16K","0,21%"
"13.12.2024","58.380,00","58.140,00","58.380,00","58.000,00","6,96K","2,42%"
