"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","2.910,00","2.920,00","2.940,00","2.910,00","493,04K","-0,34%"
"12.06.2025","2.920,00","2.930,00","2.935,00","2.860,00","286,47K","0,00%"
"11.06.2025","2.920,00","2.955,00","2.955,00","2.900,00","806,25K","-0,68%"
"10.06.2025","2.940,00","2.950,00","2.965,00","2.940,00","238,98K","0,34%"
"09.06.2025","2.930,00","2.985,00","2.985,00","2.930,00","282,39K","-1,84%"
"06.06.2025","2.985,00","2.970,00","2.990,00","2.970,00","119,61K","0,51%"
"05.06.2025","2.970,00","2.975,00","2.985,00","2.970,00","412,05K","-0,17%"
"04.06.2025","2.975,00","2.965,00","2.980,00","2.965,00","264,29K","0,00%"
"03.06.2025","2.975,00","2.965,00","2.975,00","2.940,00","361,40K","2,59%"
"30.05.2025","2.900,00","2.950,00","2.965,00","2.900,00","1,88M","-2,85%"
"29.05.2025","2.985,00","2.950,00","2.985,00","2.940,00","301,72K","1,19%"
"28.05.2025","2.950,00","2.930,00","2.960,00","2.910,00","567,35K","1,20%"
"27.05.2025","2.915,00","2.945,00","2.945,00","2.875,00","839,40K","-1,02%"
"26.05.2025","2.945,00","2.970,00","2.975,00","2.945,00","101,46K","-0,84%"
"23.05.2025","2.970,00","2.970,00","2.970,00","2.930,00","397,51K","0,00%"
"22.05.2025","2.970,00","2.910,00","2.970,00","2.900,00","325,61K","1,54%"
"21.05.2025","2.925,00","2.900,00","2.930,00","2.900,00","1,68M","0,86%"
"20.05.2025","2.900,00","2.900,00","2.910,00","2.890,00","256,83K","0,00%"
"19.05.2025","2.900,00","2.895,00","2.900,00","2.870,00","202,51K","0,17%"
"16.05.2025","2.895,00","2.900,00","2.900,00","2.875,00","223,04K","0,35%"
"15.05.2025","2.885,00","2.930,00","2.930,00","2.850,00","962,92K","-0,69%"
"14.05.2025","2.905,00","2.985,00","2.985,00","2.905,00","584,02K","-2,02%"
"13.05.2025","2.965,00","2.980,00","3.000,00","2.965,00","766,46K","-0,50%"
"12.05.2025","2.980,00","2.960,00","2.980,00","2.950,00","396,41K","1,36%"
"09.05.2025","2.940,00","2.975,00","2.975,00","2.940,00","274,97K","-1,01%"
"08.05.2025","2.970,00","2.960,00","2.980,00","2.935,00","696,65K","3,85%"
"07.05.2025","2.860,00","2.980,00","2.995,00","2.860,00","1,35M","-4,51%"
"06.05.2025","2.995,00","2.970,00","2.995,00","2.970,00","864,28K","0,84%"
"05.05.2025","2.970,00","2.960,00","2.990,00","2.955,00","992,08K","0,34%"
"02.05.2025","2.960,00","2.925,00","2.960,00","2.925,00","133,00K","1,02%"
"30.04.2025","2.930,00","2.900,00","2.935,00","2.895,00","1,96M","1,21%"
"29.04.2025","2.895,00","2.890,00","2.895,00","2.875,00","370,37K","1,22%"
"28.04.2025","2.860,00","2.810,00","2.860,00","2.810,00","973,13K","1,96%"
"25.04.2025","2.805,00","2.795,00","2.825,00","2.795,00","167,99K","-0,88%"
"24.04.2025","2.830,00","2.840,00","2.840,00","2.750,00","405,39K","-0,53%"
"23.04.2025","2.845,00","2.805,00","2.845,00","2.805,00","1,02M","2,34%"
"22.04.2025","2.780,00","2.760,00","2.810,00","2.760,00","1,42M","1,09%"
"21.04.2025","2.750,00","2.820,00","2.820,00","2.745,00","474,26K","-2,48%"
"16.04.2025","2.820,00","2.805,00","2.830,00","2.800,00","93,96K","-0,18%"
"15.04.2025","2.825,00","2.805,00","2.830,00","2.800,00","87,68K","-0,18%"
"14.04.2025","2.830,00","2.800,00","2.840,00","2.800,00","188,87K","1,43%"
"11.04.2025","2.790,00","2.800,00","2.815,00","2.790,00","434,99K","0,18%"
"10.04.2025","2.785,00","2.880,00","2.880,00","2.785,00","612,35K","-3,80%"
"09.04.2025","2.895,00","2.895,00","2.895,00","2.810,00","567,57K","3,02%"
"08.04.2025","2.810,00","2.875,00","2.900,00","2.810,00","1,19M","-1,75%"
"07.04.2025","2.860,00","2.900,00","2.900,00","2.815,00","460,81K","0,00%"
"04.04.2025","2.860,00","2.905,00","2.905,00","2.850,00","765,97K","-4,51%"
"03.04.2025","2.995,00","2.950,00","3.000,00","2.950,00","1,84M","1,53%"
"02.04.2025","2.950,00","2.885,00","2.975,00","2.885,00","653,16K","2,25%"
"01.04.2025","2.885,00","2.850,00","2.895,00","2.840,00","2,27M","1,23%"
"31.03.2025","2.850,00","2.865,00","2.865,00","2.805,00","632,26K","-0,35%"
"28.03.2025","2.860,00","2.865,00","2.865,00","2.850,00","3,03M","-0,17%"
"27.03.2025","2.865,00","2.895,00","2.895,00","2.850,00","1,25M","-0,87%"
"26.03.2025","2.890,00","2.855,00","2.895,00","2.855,00","422,57K","-0,34%"
"25.03.2025","2.900,00","2.855,00","2.900,00","2.825,00","911,06K","1,58%"
"21.03.2025","2.855,00","2.890,00","2.890,00","2.765,00","3,42M","-0,17%"
"20.03.2025","2.860,00","2.905,00","2.905,00","2.850,00","1,06M","-1,38%"
"19.03.2025","2.900,00","2.885,00","2.905,00","2.885,00","494,87K","0,69%"
"18.03.2025","2.880,00","2.865,00","2.925,00","2.865,00","516,31K","-2,04%"
"17.03.2025","2.940,00","2.900,00","2.940,00","2.840,00","1,40M","2,80%"
"14.03.2025","2.860,00","2.825,00","2.860,00","2.815,00","313,28K","0,35%"
"13.03.2025","2.850,00","2.850,00","2.850,00","2.825,00","429,88K","0,00%"
"12.03.2025","2.850,00","2.790,00","2.850,00","2.790,00","1,64M","2,70%"
"11.03.2025","2.775,00","2.810,00","2.810,00","2.770,00","568,84K","-1,25%"
"10.03.2025","2.810,00","2.785,00","2.825,00","2.760,00","517,31K","-1,40%"
"07.03.2025","2.850,00","2.800,00","2.850,00","2.795,00","195,02K","1,06%"
"06.03.2025","2.820,00","2.765,00","2.820,00","2.765,00","587,09K","2,17%"
"05.03.2025","2.760,00","2.790,00","2.830,00","2.750,00","961,02K","-0,18%"
"04.03.2025","2.765,00","2.790,00","2.790,00","2.750,00","671,93K","-1,07%"
"03.03.2025","2.795,00","2.850,00","2.875,00","2.795,00","627,71K","-2,78%"
"28.02.2025","2.875,00","2.905,00","2.950,00","2.875,00","10,38M","-2,21%"
"27.02.2025","2.940,00","2.900,00","2.940,00","2.900,00","4,00M","1,38%"
"26.02.2025","2.900,00","2.810,00","2.900,00","2.770,00","3,56M","3,57%"
"25.02.2025","2.800,00","2.690,00","2.810,00","2.690,00","3,40M","1,08%"
"24.02.2025","2.770,00","2.685,00","2.785,00","2.685,00","1,11M","3,17%"
"21.02.2025","2.685,00","2.700,00","2.730,00","2.680,00","1,22M","0,19%"
"20.02.2025","2.680,00","2.625,00","2.705,00","2.615,00","2,37M","2,68%"
"19.02.2025","2.610,00","2.570,00","2.620,00","2.560,00","1,23M","1,56%"
