"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","12.360,00","12.360,00","12.360,00","12.280,00","13,97K","-0,32%"
"12.06.2025","12.400,00","12.380,00","12.400,00","12.380,00","8,92K","1,14%"
"11.06.2025","12.260,00","12.240,00","12.300,00","12.240,00","13,86K","-0,16%"
"10.06.2025","12.280,00","12.400,00","12.400,00","12.280,00","26,73K","-0,16%"
"09.06.2025","12.300,00","12.240,00","12.300,00","12.240,00","10,25K","0,00%"
"06.06.2025","12.300,00","12.300,00","12.300,00","12.300,00","6,61K","0,33%"
"05.06.2025","12.260,00","12.260,00","12.260,00","12.260,00","5,44K","0,16%"
"04.06.2025","12.240,00","12.240,00","12.300,00","12.240,00","21,87K","0,33%"
"03.06.2025","12.200,00","12.280,00","12.300,00","12.200,00","15,05K","-0,65%"
"30.05.2025","12.280,00","12.280,00","12.280,00","12.280,00","10,96K","-0,16%"
"29.05.2025","12.300,00","12.300,00","12.300,00","12.160,00","12,92K","0,99%"
"28.05.2025","12.180,00","12.200,00","12.200,00","12.180,00","9,42K","-0,81%"
"27.05.2025","12.280,00","12.300,00","12.360,00","12.280,00","22,90K","0,49%"
"26.05.2025","12.220,00","12.400,00","12.400,00","12.220,00","16,86K","-1,29%"
"23.05.2025","12.380,00","12.300,00","12.380,00","12.300,00","17,25K","1,31%"
"22.05.2025","12.220,00","12.200,00","12.260,00","12.100,00","40,58K","0,00%"
"21.05.2025","12.220,00","12.200,00","12.220,00","12.200,00","11,89K","1,16%"
"20.05.2025","12.080,00","12.100,00","12.100,00","12.080,00","19,22K","-0,98%"
"19.05.2025","12.200,00","12.100,00","12.240,00","12.060,00","33,39K","1,67%"
"16.05.2025","12.000,00","12.000,00","12.100,00","11.900,00","63,27K","0,84%"
"15.05.2025","11.900,00","11.540,00","11.980,00","11.540,00","54,47K","3,48%"
"14.05.2025","11.500,00","11.300,00","11.500,00","11.300,00","64,84K","1,77%"
"13.05.2025","11.300,00","11.280,00","11.300,00","11.240,00","20,13K","0,18%"
"12.05.2025","11.280,00","11.280,00","11.280,00","11.280,00","8,30K","1,62%"
"09.05.2025","11.100,00","11.100,00","11.100,00","11.100,00","13,66K","-0,18%"
"08.05.2025","11.120,00","11.260,00","11.260,00","11.100,00","33,07K","-1,42%"
"07.05.2025","11.280,00","11.140,00","11.280,00","11.140,00","11,12K","1,62%"
"06.05.2025","11.100,00","11.300,00","11.300,00","11.100,00","20,52K","-1,94%"
"05.05.2025","11.320,00","11.300,00","11.320,00","11.220,00","46,62K","0,18%"
"02.05.2025","11.300,00","11.120,00","11.300,00","11.120,00","53,95K","1,80%"
"30.04.2025","11.100,00","11.100,00","11.100,00","11.100,00","7,82K","0,91%"
"29.04.2025","11.000,00","11.040,00","11.040,00","10.980,00","60,60K","-0,18%"
"28.04.2025","11.020,00","11.020,00","11.040,00","11.020,00","9,11K","-0,54%"
"25.04.2025","11.080,00","11.160,00","11.200,00","11.080,00","55,86K","-0,72%"
"24.04.2025","11.160,00","11.180,00","11.180,00","11.100,00","13,93K","-0,36%"
"23.04.2025","11.200,00","11.040,00","11.200,00","11.040,00","14,77K","0,18%"
"22.04.2025","11.180,00","11.060,00","11.180,00","11.000,00","26,46K","1,08%"
"21.04.2025","11.060,00","11.100,00","11.300,00","11.060,00","15,99K","-0,36%"
"16.04.2025","11.100,00","11.220,00","11.220,00","11.100,00","8,39K","-0,72%"
"15.04.2025","11.180,00","11.100,00","11.180,00","11.100,00","18,41K","1,64%"
"14.04.2025","11.000,00","11.000,00","11.000,00","11.000,00","4,59K","0,00%"
"11.04.2025","11.000,00","11.000,00","11.140,00","11.000,00","16,02K","1,85%"
"10.04.2025","10.800,00","11.260,00","11.260,00","10.800,00","27,04K","-4,26%"
"09.04.2025","11.280,00","11.000,00","11.280,00","10.520,00","95,75K","2,55%"
"08.04.2025","11.000,00","11.400,00","11.400,00","11.000,00","62,36K","-2,65%"
"07.04.2025","11.300,00","11.240,00","11.400,00","11.240,00","45,19K","0,36%"
"04.04.2025","11.260,00","11.480,00","11.480,00","11.200,00","41,10K","-0,35%"
"03.04.2025","11.300,00","11.240,00","11.500,00","11.200,00","134,92K","0,53%"
"02.04.2025","11.240,00","11.260,00","11.300,00","11.200,00","92,49K","1,26%"
"01.04.2025","11.100,00","11.260,00","11.260,00","11.100,00","39,69K","-0,72%"
"31.03.2025","11.180,00","11.240,00","11.400,00","11.180,00","72,05K","0,72%"
"28.03.2025","11.100,00","12.460,00","12.460,00","11.040,00","263,25K","-11,06%"
"27.03.2025","12.480,00","12.420,00","12.600,00","12.420,00","362,63K","0,48%"
"26.03.2025","12.420,00","12.700,00","12.740,00","12.420,00","97,49K","-1,90%"
"25.03.2025","12.660,00","12.600,00","12.660,00","12.560,00","96,60K","1,28%"
"21.03.2025","12.500,00","12.680,00","12.700,00","12.480,00","81,47K","0,00%"
"20.03.2025","12.500,00","12.580,00","12.600,00","12.500,00","33,08K","0,00%"
"19.03.2025","12.500,00","12.600,00","12.600,00","12.500,00","16,37K","0,00%"
