"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","6.800,0","6.810,0","6.810,0","6.800,0","20,50K","0,00%"
"12.06.2025","6.800,0","6.800,0","6.800,0","6.800,0","42,72K","0,29%"
"11.06.2025","6.780,0","6.780,0","6.780,0","6.780,0","15,94K","0,30%"
"10.06.2025","6.760,0","6.760,0","6.760,0","6.760,0","2,85K","0,00%"
"09.06.2025","6.760,0","6.760,0","6.810,0","6.760,0","65,95K","-1,46%"
"06.06.2025","6.860,0","6.860,0","6.860,0","6.860,0","3,54K","0,00%"
"05.06.2025","6.860,0","6.860,0","6.860,0","6.860,0","34,61K","-0,29%"
"04.06.2025","6.880,0","6.800,0","6.880,0","6.700,0","188,36K","2,69%"
"03.06.2025","6.700,0","6.760,0","6.760,0","6.700,0","92,33K","0,00%"
"30.05.2025","6.700,0","6.770,0","6.770,0","6.700,0","14,81K","-1,76%"
"29.05.2025","6.820,0","6.850,0","6.850,0","6.820,0","28,39K","0,00%"
"28.05.2025","6.820,0","6.810,0","6.880,0","6.810,0","72,61K","0,00%"
"27.05.2025","6.820,0","6.820,0","6.820,0","6.820,0","10,49K","0,00%"
"26.05.2025","6.820,0","6.820,0","6.820,0","6.820,0","48,09K","0,00%"
"23.05.2025","6.820,0","6.820,0","6.820,0","6.820,0","48,37K","0,29%"
"22.05.2025","6.800,0","6.800,0","6.800,0","6.800,0","22,77K","0,00%"
"21.05.2025","6.800,0","6.830,0","6.830,0","6.800,0","20,54K","-0,44%"
"20.05.2025","6.830,0","6.830,0","6.830,0","6.830,0","5,77K","0,00%"
"19.05.2025","6.830,0","6.830,0","6.840,0","6.830,0","65,48K","0,00%"
"16.05.2025","6.830,0","6.830,0","6.850,0","6.830,0","62,40K","0,00%"
"15.05.2025","6.830,0","6.830,0","6.830,0","6.810,0","41,94K","0,15%"
"14.05.2025","6.820,0","6.830,0","6.840,0","6.800,0","82,20K","0,00%"
"13.05.2025","6.820,0","6.820,0","6.830,0","6.820,0","167,70K","0,15%"
