"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"13.06.2025","45.700,0","45.540,0","45.700,0","45.540,0","35,66K","0,35%"
"12.06.2025","45.540,0","45.400,0","45.600,0","45.300,0","22,20K","0,31%"
"11.06.2025","45.400,0","45.180,0","45.400,0","45.180,0","62,65K","0,58%"
"10.06.2025","45.140,0","44.500,0","45.200,0","44.500,0","14,88K","1,58%"
"09.06.2025","44.440,0","43.900,0","44.900,0","43.900,0","14,92K","-1,02%"
"06.06.2025","44.900,0","44.900,0","44.900,0","44.800,0","1,86K","0,00%"
"05.06.2025","44.900,0","45.100,0","45.200,0","44.900,0","6,07K","-0,66%"
"04.06.2025","45.200,0","45.900,0","45.900,0","45.200,0","20,10K","0,40%"
"03.06.2025","45.020,0","44.900,0","45.200,0","44.900,0","21,43K","0,27%"
"30.05.2025","44.900,0","45.400,0","45.500,0","44.900,0","18,79K","-1,32%"
"29.05.2025","45.500,0","45.600,0","45.700,0","45.300,0","51,59K","-0,44%"
"28.05.2025","45.700,0","45.620,0","45.700,0","45.620,0","7,07K","0,00%"
"27.05.2025","45.700,0","45.700,0","45.700,0","45.700,0","17,76K","-0,26%"
"26.05.2025","45.820,0","45.820,0","45.820,0","45.820,0","0,19K","0,00%"
"23.05.2025","45.820,0","45.620,0","45.980,0","45.540,0","31,02K","0,31%"
"22.05.2025","45.680,0","45.980,0","45.980,0","45.520,0","29,87K","-0,70%"
"21.05.2025","46.000,0","45.900,0","46.100,0","45.800,0","23,30K","0,00%"
"20.05.2025","46.000,0","45.300,0","46.200,0","45.260,0","158,49K","1,77%"
"19.05.2025","45.200,0","44.500,0","45.940,0","44.500,0","34,79K","0,89%"
"16.05.2025","44.800,0","44.800,0","44.840,0","44.800,0","13,75K","-0,18%"
"15.05.2025","44.880,0","44.940,0","45.500,0","44.500,0","41,91K","-0,13%"
"14.05.2025","44.940,0","43.980,0","44.940,0","43.600,0","36,67K","2,14%"
"13.05.2025","44.000,0","43.200,0","44.000,0","42.960,0","28,92K","1,80%"
"12.05.2025","43.220,0","43.500,0","43.500,0","43.220,0","7,66K","-1,55%"
"09.05.2025","43.900,0","44.000,0","44.000,0","43.900,0","8,77K","-0,23%"
"08.05.2025","44.000,0","42.400,0","44.000,0","42.400,0","18,20K","-1,12%"
"07.05.2025","44.500,0","42.820,0","44.500,0","42.820,0","45,91K","3,92%"
"06.05.2025","42.820,0","42.880,0","42.880,0","42.820,0","3,77K","-0,19%"
"05.05.2025","42.900,0","42.940,0","42.940,0","42.900,0","3,75K","-0,69%"
"02.05.2025","43.200,0","43.000,0","43.200,0","42.700,0","11,96K","0,47%"
"30.04.2025","43.000,0","42.440,0","43.000,0","42.400,0","36,74K","0,47%"
"29.04.2025","42.800,0","42.400,0","42.800,0","42.400,0","6,60K","1,04%"
"28.04.2025","42.360,0","42.600,0","42.660,0","42.200,0","24,08K","-0,33%"
"25.04.2025","42.500,0","42.900,0","42.920,0","42.500,0","3,46K","-0,93%"
"24.04.2025","42.900,0","42.900,0","43.100,0","42.020,0","57,16K","0,23%"
"23.04.2025","42.800,0","43.100,0","43.500,0","41.040,0","234,84K","-0,70%"
"22.04.2025","43.100,0","42.460,0","43.160,0","42.460,0","20,28K","1,89%"
"21.04.2025","42.300,0","42.600,0","42.700,0","42.300,0","27,72K","-1,17%"
"16.04.2025","42.800,0","42.700,0","42.800,0","42.700,0","4,19K","0,00%"
"15.04.2025","42.800,0","42.000,0","42.960,0","42.000,0","58,16K","-0,47%"
"14.04.2025","43.000,0","43.100,0","43.100,0","42.700,0","4,52K","0,00%"
"11.04.2025","43.000,0","42.340,0","43.000,0","42.340,0","20,04K","2,09%"
"10.04.2025","42.120,0","42.600,0","42.620,0","42.120,0","18,96K","-2,05%"
"09.04.2025","43.000,0","42.040,0","43.000,0","42.000,0","34,49K","1,90%"
"08.04.2025","42.200,0","42.900,0","42.900,0","42.160,0","22,89K","-2,36%"
"07.04.2025","43.220,0","43.000,0","43.580,0","42.820,0","31,37K","0,75%"
"04.04.2025","42.900,0","44.000,0","44.000,0","42.300,0","98,01K","-3,03%"
"03.04.2025","44.240,0","43.000,0","44.480,0","43.000,0","37,38K","1,70%"
"02.04.2025","43.500,0","42.200,0","43.500,0","41.900,0","37,82K","2,35%"
"01.04.2025","42.500,0","43.000,0","43.160,0","41.000,0","356,75K","0,00%"
"31.03.2025","42.500,0","42.380,0","42.500,0","41.900,0","35,17K","0,24%"
"28.03.2025","42.400,0","41.800,0","42.700,0","41.740,0","50,45K","1,68%"
"27.03.2025","41.700,0","41.200,0","41.700,0","41.000,0","41,65K","0,77%"
"26.03.2025","41.380,0","41.380,0","41.380,0","40.000,0","19,94K","0,00%"
"25.03.2025","41.380,0","39.500,0","41.880,0","39.500,0","49,36K","4,76%"
"21.03.2025","39.500,0","40.440,0","40.440,0","39.500,0","743,60K","-1,30%"
"20.03.2025","40.020,0","39.500,0","40.400,0","39.000,0","841,42K","1,21%"
"19.03.2025","39.540,0","39.220,0","39.600,0","39.000,0","33,77K","0,82%"
"18.03.2025","39.220,0","40.000,0","40.000,0","39.000,0","541,80K","-2,10%"
"17.03.2025","40.060,0","39.500,0","40.100,0","39.500,0","43,63K","0,20%"
