Fecha;IMI;BIC;BBO;CEL;CCB;CFV;CIC;EC;ARG;SCA;GEB;ISA;TPL;PMG;SIS
13.06.2025;2.820,00;49.940,00;32200;4.490,00;10.600,00;17.400,00;489;1.985,00;21.580,00;69.800,00;2.910,00;19.200,00;12.360,00;6.800,00;45.700,00
12.06.2025;2.840,00;50.000,00;32500;4.505,00;10.560,00;17.900,00;500;1.925,00;21.960,00;70.400,00;2.920,00;19.000,00;12.400,00;6.800,00;45.540,00
11.06.2025;2.830,00;50.500,00;32580;4.550,00;10.700,00;18.100,00;488;1.930,00;21.960,00;69.920,00;2.920,00;19.500,00;12.260,00;6.780,00;45.400,00
10.06.2025;2.795,00;50.300,00;32000;4.560,00;10.680,00;18.380,00;489;1.895,00;21.800,00;69.920,00;2.940,00;19.380,00;12.280,00;6.760,00;45.140,00
09.06.2025;2.800,00;49.560,00;32500;4.420,00;10.520,00;18.280,00;484;1.850,00;21.880,00;69.980,00;2.930,00;19.500,00;12.300,00;6.760,00;44.440,00
06.06.2025;2.845,00;50.100,00;32780;4.445,00;10.560,00;18.440,00;475;1.845,00;21.960,00;70.000,00;2.985,00;19.800,00;12.300,00;6.860,00;44.900,00
05.06.2025;2.650,00;51.000,00;32500;4.405,00;10.660,00;18.300,00;483;1.780,00;21.960,00;70.100,00;2.970,00;20.000,00;12.260,00;6.860,00;44.900,00
04.06.2025;2.505,00;50.400,00;32500;4.380,00;10.500,00;18.640,00;485;1.765,00;21.980,00;70.380,00;2.975,00;20.120,00;12.240,00;6.880,00;45.200,00
03.06.2025;2.410,00;49.880,00;32740;4.385,00;10.460,00;18.520,00;486;1.775,00;21.980,00;70.000,00;2.975,00;19.600,00;12.200,00;6.700,00;45.020,00
30.05.2025;2.450,00;48.800,00;32600;4.220,00;10.440,00;18.500,00;477;1.740,00;21.500,00;69.900,00;2.900,00;19.320,00;12.280,00;6.700,00;44.900,00
29.05.2025;2.440,00;49.800,00;31900;4.400,00;10.540,00;18.420,00;490;1.795,00;21.900,00;69.980,00;2.985,00;19.500,00;12.300,00;6.820,00;45.500,00
28.05.2025;2.415,00;50.800,00;32480;4.300,00;10.540,00;18.400,00;485;1.780,00;21.820,00;71.840,00;2.950,00;20.100,00;12.180,00;6.820,00;45.700,00
27.05.2025;2.360,00;51.600,00;32880;4.390,00;10.600,00;17.700,00;490;1.780,00;21.980,00;71.800,00;2.915,00;19.500,00;12.280,00;6.820,00;45.700,00
26.05.2025;2.150,00;52.000,00;32700;4.395,00;10.960,00;17.980,00;492;1.760,00;21.800,00;71.360,00;2.945,00;20.200,00;12.220,00;6.820,00;45.820,00
23.05.2025;2.200,00;52.300,00;33000;4.410,00;10.900,00;18.140,00;485;1.780,00;21.760,00;69.000,00;2.970,00;20.200,00;12.380,00;6.820,00;45.820,00
22.05.2025;2.245,00;51.580,00;32700;4.310,00;10.740,00;18.100,00;489;1.780,00;21.740,00;68.540,00;2.970,00;20.400,00;12.220,00;6.800,00;45.680,00
21.05.2025;2.230,00;51.900,00;32800;4.330,00;10.700,00;18.100,00;496;1.775,00;21.680,00;69.000,00;2.925,00;20.500,00;12.220,00;6.800,00;46.000,00
20.05.2025;2.240,00;52.620,00;32260;4.300,00;10.580,00;18.080,00;500;1.790,00;21.780,00;69.000,00;2.900,00;21.200,00;12.080,00;6.830,00;46.000,00
19.05.2025;2.280,00;52.500,00;32600;4.315,00;10.660,00;18.000,00;513;1.805,00;21.980,00;70.100,00;2.900,00;20.900,00;12.200,00;6.830,00;45.200,00
16.05.2025;2.310,00;50.000,00;32160;4.320,00;10.480,00;18.320,00;513;1.810,00;21.520,00;71.000,00;2.895,00;21.000,00;12.000,00;6.830,00;44.800,00
15.05.2025;2.320,00;52.800,00;32380;4.340,00;10.460,00;18.400,00;482;1.800,00;21.560,00;72.920,00;2.885,00;21.200,00;11.900,00;6.830,00;44.880,00
